Nom de départements,EqSport2018
1,2195
2,1928
3,1140
4,623
5,928
6,1420
7,1013
8,1099
9,659
10,827
11,1312
12,1143
13,2702
14,1884
15,617
16,1087
17,2040
18,1012
19,941
21,1443
22,2038
23,502
24,1460
25,1571
26,1219
27,1695
28,1429
29,2685
30,1817
31,2937
32,898
33,2687
34,2242
35,1934
36,1036
37,1589
38,3199
39,936
40,1186
41,1071
42,1754
43,744
44,2888
45,1637
46,754
47,1117
48,396
49,2903
50,1563
51,1876
52,776
53,1358
54,2216
55,772
56,2402
57,3915
58,532
59,4752
60,2601
61,998
62,3266
63,1793
64,2118
65,756
66,1471
67,2436
68,1873
69,2595
70,1074
71,1913
72,2110
73,1215
74,1492
75,1361
76,3170
77,2507
78,2170
79,1337
80,2045
81,1052
82,876
83,1778
84,1133
85,1793
86,1351
87,1058
88,1244
89,1182
90,444
91,2103
92,1429
93,1286
94,1467
95,1807
96,239
97,354
